['SEEDS', 0.1]
['ENCHANTED_PUMPKIN', 44.56]
['LIGHT_BAIT', 44.62]
['ENCHANTED_POTATO', 45.72]
['WATER_LILY', 53.13]
['ENCHANTED_ROTTEN_FLESH', 54.63]
['ENCHANTED_REDSTONE', 58.93]
['ENCHANTED_QUARTZ', 59.83]
['ENCHANTED_SPRUCE_LOG', 60.3]
['ENCHANTED_OAK_LOG', 62.76]
['ENCHANTED_SPIDER_EYE', 63.11]
['ENCHANTED_STRING', 67.89]
['DARK_BAIT', 74.28]
['ENCHANTED_RAW_SALMON', 77.48]
['ENCHANTED_PORK', 80.78]
['BLESSED_BAIT', 84.26]
['ENCHANTED_JUNGLE_LOG', 85.86]
['WHALE_BAIT', 85.87]
['ENCHANTED_COAL', 86.48]
['ENCHANTED_PRISMARINE_CRYSTALS', 86.95]
['ENCHANTED_CHARCOAL', 88.16]
['ENCHANTED_PRISMARINE_SHARD', 92.79]
['ENCHANTED_PAPER', 106.75]
['ENCHANTED_IRON', 109.31]
['ENCHANTED_COCOA', 112.21]
['GREEN_CANDY', 119.3]
['ENCHANTED_BONE', 119.46]
['ENCHANTED_ICE', 132.21]
['ENCHANTED_CACTUS_GREEN', 148.74]
['ENCHANTED_GLOWSTONE_DUST', 150.12]
['ENCHANTED_BIRCH_LOG', 159.97]
['ENCHANTED_ENDSTONE', 160.8]
['ENCHANTED_GUNPOWDER', 177.11]
['ENCHANTED_EGG', 178.17]
['ENCHANTED_NETHER_STALK', 180.96]
['OLD_FRAGMENT', 187.21]
['PROTECTOR_FRAGMENT', 188.95]
['ENCHANTED_GOLD', 210.96]
['ENCHANTED_RABBIT_FOOT', 221.85]
['ENCHANTED_BLAZE_POWDER', 223.89]
['ENCHANTED_EYE_OF_ENDER', 235.32]
['ENCHANTED_OBSIDIAN', 263.42]
['ENCHANTED_SUGAR', 265.46]
['ENCHANTED_SLIME_BALL', 291.57]
['ENCHANTED_SAND', 293.59]
['STOCK_OF_STONKS', 319.19]
['FOUL_FLESH', 321.13]
['ENCHANTED_MUTTON', 324.3]
['ENCHANTED_RED_MUSHROOM', 344.14]
['UNSTABLE_FRAGMENT', 413.49]
['ENCHANTED_SPONGE', 445.89]
['ENCHANTED_BROWN_MUSHROOM', 449.67]
['STRONG_FRAGMENT', 546.25]
['ENCHANTED_INK_SACK', 587.15]
['HAMSTER_WHEEL', 696.74]
['ENCHANTED_FLINT', 714.37]
['WHITE_GIFT', 764.09]
['ENCHANTED_HUGE_MUSHROOM_1', 800.52]
['ENCHANTED_GLISTERING_MELON', 896.24]
['PURPLE_CANDY', 924.31]
['WISE_FRAGMENT', 1034.0]
['COMPACTOR', 1056.95]
['ENCHANTED_RAW_FISH', 1104.91]
['YOUNG_FRAGMENT', 1285.24]
['ENCHANTED_HAY_BLOCK', 1628.26]
['CATALYST', 1858.54]
['ENCHANTED_LEATHER', 1860.67]
['GREEN_GIFT', 2000.44]
['ENCHANTED_MELON_BLOCK', 2246.45]
['ENCHANTED_RABBIT_HIDE', 2336.63]
['ENCHANTED_HUGE_MUSHROOM_2', 3715.58]
['ENCHANTED_LAPIS_LAZULI_BLOCK', 4062.26]
['ENCHANTED_FERMENTED_SPIDER_EYE', 4894.98]
['ENCHANTED_SUGAR_CANE', 5202.52]
['ENCHANTED_CAKE', 5582.51]
['RED_GIFT', 5739.46]
['ENCHANTED_GLOWSTONE', 6853.72]
['HOT_POTATO_BOOK', 7971.69]
['ENCHANTED_CARROT_STICK', 8329.31]
['ENCHANTED_GOLDEN_CARROT', 8759.12]
['ENCHANTED_PUFFERFISH', 9661.08]
['ENCHANTED_COAL_BLOCK', 9827.26]
['REVENANT_VISCERA', 10390.13]
['ENCHANTED_GOLD_BLOCK', 11173.37]
['SUPER_COMPACTOR_3000', 12160.55]
['TARANTULA_SILK', 17436.85]
['ENCHANTED_COOKED_MUTTON', 18921.5]
['ENCHANTED_PACKED_ICE', 19349.96]
['ENCHANTED_IRON_BLOCK', 19889.77]
['ENCHANTED_REDSTONE_BLOCK', 20605.5]
['ENCHANTED_WATER_LILY', 20874.96]
['ENCHANTED_GRILLED_PORK', 22370.16]
['SUMMONING_EYE', 25029.66]
['ENCHANTED_FIREWORK_ROCKET', 27208.42]
['ENCHANTED_SLIME_BLOCK', 30320.65]
['ENCHANTED_EMERALD_BLOCK', 37785.62]
['SUPER_EGG', 41622.99]
['ENCHANTED_DIAMOND_BLOCK', 50153.92]
['GOLDEN_TOOTH', 61654.99]
['ENCHANTED_BAKED_POTATO', 63363.39]
['ENCHANTED_COOKED_FISH', 72622.03]
['ENCHANTED_QUARTZ_BLOCK', 98421.48]
['ENCHANTED_COOKIE', 103912.22]
['ENCHANTED_CACTUS', 122560.57]
['ENCHANTED_REDSTONE_LAMP', 156153.87]
['ENCHANTED_WET_SPONGE', 195346.04]
['ENCHANTED_COOKED_SALMON', 206767.26]
['SUPERIOR_FRAGMENT', 231918.73]
['ENCHANTED_BLAZE_ROD', 332921.62]
['ENCHANTED_LAVA_BUCKET', 359836.02]
